"A","B","C","degree","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,5000,2,0,0.0011,177,-0.0113,8.3,0.31,8.63
0,1,10000,2,0,0.001,177,-0.0113,8.37,0.24,8.61
0,1,50000,2,0,0.0011,177,-0.0113,8.2,0.22,8.42
0,2,50,2,0,0.0025,244,-0.0209,9.67,0.22,9.89
0,2,100,2,0,0.0025,244,-0.0209,9.63,0.23,9.86
0,2,500,2,0,0.0028,244,-0.0209,9.75,0.11,9.86
1,2,5,2,0,0.0053,315,-0.0452,13.21,0.25,13.5
1,2,10,2,0,0.0051,315,-0.0452,13,0.29,13.28
1,2,50,2,0,0.0051,315,-0.0452,13,0.31,13.32
0,3,500,2,0,0.0014,244,-0.0177,10.09,0.24,10.33
0,3,1000,2,0,0.0013,244,-0.0177,10.09,0.25,10.36
0,3,5000,2,0,0.0012,244,-0.0177,10.11,0.24,10.34
1,3,5,2,0,0.0028,258,-0.0238,11.39,0.25,11.65
1,3,10,2,0,0.0033,258,-0.0238,11.42,0.24,11.66
1,3,50,2,0,0.003,258,-0.0238,11.11,0.41,11.52
2,3,1,2,0,0.0048,461,-0.0511,15.6,0.39,16
2,3,1,2,0,0.0049,461,-0.0511,15.94,0.33,16.26
2,3,5,2,0,0.005,461,-0.0511,15.67,0.36,16.04
0,4,5000,2,0,5e-04,202,-0.0067,8.26,0.22,8.48
0,4,10000,2,0,2e-04,202,-0.0067,8.42,0.19,8.61
0,4,50000,2,0,4e-04,202,-0.0067,8.33,0.22,8.55
1,4,1,2,0,0.0026,219,-0.0208,9.86,0.15,10.01
1,4,1,2,0,0.0027,219,-0.0208,9.55,0.22,9.8
1,4,5,2,0,0.0023,219,-0.0208,9.61,0.23,9.84
2,4,1,2,0,0.0021,372,-0.0242,12.81,0.26,13.08
2,4,1,2,0,0.0029,372,-0.0242,13.04,0.28,13.33
2,4,5,2,0,0.0027,372,-0.0242,12.83,0.26,13.1
3,4,50,2,0,0.0011,323,-0.0143,11.77,0.3,12.06
3,4,100,2,0,0.0012,323,-0.0143,11.89,0.28,12.17
3,4,500,2,0,0.0013,323,-0.0143,11.58,0.5,12.08
0,5,500,2,0,0.0023,267,-0.0235,9.89,0.23,10.13
0,5,1000,2,0,0.0021,267,-0.0235,9.97,0.15,10.13
0,5,5000,2,0,0.0026,267,-0.0235,9.99,0.22,10.22
1,5,1,2,0,0.0022,253,-0.0222,9.74,0.28,10.02
1,5,1,2,0,0.0017,253,-0.0222,9.92,0.28,10.21
