"A","B","C","degree","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,0,0.0093,45.5,-4.169,1.016,0.037,1.101
0,1,10,1,0,0.0086,42.7,-3.9474,1.03,0.012,1.054
0,1,100,1,0,0.0076,39.3,-3.16,1.012,0.014,1.037
0,1,1000,1,0,0.0081,43.8,-3.9233,1.055,0.017,1.114
0,1,10000,1,0,0.0085,42.1,-3.5716,1.074,0.017,1.122
0,1,1,2,0,0.0021,107.6,-0.005,1.222,0.015,1.268
0,1,10,2,0,0.0018,110.6,-0.0044,1.251,0.023,1.313
0,1,100,2,0,0.0019,109.5,-0.0048,1.238,0.025,1.288
0,1,1000,2,0,0.0016,113,-0.0049,1.278,0.028,1.361
0,1,10000,2,0,8e-04,113.1,-0.0043,1.269,0.026,1.341
0,1,1,3,0,0.0031,157.4,0,1.494,0.025,1.576
0,1,10,3,0,0.003,157.7,0,1.524,0.024,1.593
0,1,100,3,0,0.0031,156.7,0,1.536,0.027,1.581
0,1,1000,3,0,0.0028,158.4,0,1.54,0.01,1.595
0,1,10000,3,0,0.0029,155.9,0,1.522,0.019,1.552
0,1,1,4,0,0.0025,227.6,0,1.939,0.022,2.008
0,1,10,4,0,0.0018,227.2,0,1.975,0.023,2.018
0,1,100,4,0,0.0023,227.4,0,1.959,0.027,2.005
0,1,1000,4,0,0.002,233,0,1.986,0.017,2.017
0,1,10000,4,0,0.0021,232.2,0,1.984,0.018,2.007
0,1,1,5,0,0.0043,247.8,0,2.036,0.011,2.055
0,1,10,5,0,0.0044,250.8,0,1.968,0.037,2.009
0,1,100,5,0,0.0047,243.9,0,1.934,0.025,1.97
0,1,1000,5,0,0.0047,247,0,1.697,0.017,1.718
0,1,10000,5,0,0.0051,249.6,0,1.028,0.003,1.031
0,2,1,1,0,0.0101,51.8,-3.8697,1.032,0.014,1.046
0,2,10,1,0,0.0101,51.4,-4.024,1.049,0.005,1.062
0,2,100,1,0,0.0112,52.8,-5.8802,1.075,0.017,1.092
0,2,1000,1,0,0.0096,51,-4.0935,1.046,0.015,1.061
0,2,10000,1,0,0.0102,51.8,-4.394,1.044,0.025,1.072
0,2,1,2,0,0.0045,157.4,-0.0085,1.403,0.022,1.436
0,2,10,2,0,0.0046,162.1,-0.0082,1.455,0.014,1.483
0,2,100,2,0,0.0044,156.9,-0.0084,1.402,0.018,1.424
0,2,1000,2,0,0.0051,160.1,-0.0082,1.519,0.014,1.538
0,2,10000,2,0,0.0053,154.4,-0.0088,1.52,0.009,1.541
0,2,1,3,0,0.0041,256.6,-1e-04,2.117,0.013,2.134
0,2,10,3,0,0.004,260.1,-1e-04,2.138,0.045,2.187
0,2,100,3,0,0.0041,255.8,-1e-04,2.106,0.033,2.16
0,2,1000,3,0,0.0037,254.7,-1e-04,2.148,0.018,2.171
0,2,10000,3,0,0.004,255.3,-1e-04,2.126,0.019,2.156
0,2,1,4,0,0.0069,420.5,0,3.047,0.034,3.107
0,2,10,4,0,0.0081,419,0,3.045,0.027,3.095
0,2,100,4,0,0.0078,418,0,3.121,0.025,3.165
0,2,1000,4,0,0.0081,425,0,3.117,0.026,3.15
0,2,10000,4,0,0.0078,416.7,0,3.049,0.033,3.092
0,2,1,5,0,0.0083,494.6,0,3.36,0.042,3.405
0,2,10,5,0,0.0074,498.1,0,3.198,0.025,3.227
0,2,100,5,0,0.0088,496.2,0,3.14,0.063,3.214
0,2,1000,5,0,0.0081,493.6,0,2.594,0.014,2.625
0,2,10000,5,0,0.009,496.3,0,1.882,0.012,1.896
0,3,1,1,0,0.0062,43.5,-1.7469,0.961,0.011,0.97
0,3,10,1,0,0.0064,44.3,-1.8758,0.943,0.006,0.958
0,3,100,1,0,0.0063,42.2,-1.936,0.927,0.016,0.946
0,3,1000,1,0,0.0066,42.5,-1.8779,0.952,0.021,0.973
0,3,10000,1,0,0.0067,44.9,-1.9625,0.956,0.01,0.967
0,3,1,2,0,0.0039,159.7,-0.008,1.389,0.019,1.419
0,3,10,2,0,0.0036,157.2,-0.008,1.408,0.017,1.44
0,3,100,2,0,0.0028,157.7,-0.0079,1.401,0.018,1.431
0,3,1000,2,0,0.0027,160.3,-0.0077,1.484,0.022,1.515
0,3,10000,2,0,0.004,157.8,-0.0078,1.488,0.016,1.508
0,3,1,3,0,0.0033,222.6,-1e-04,1.926,0.023,1.958
0,3,10,3,0,0.0033,226.3,-1e-04,1.932,0.025,1.962
0,3,100,3,0,0.0027,224.8,-1e-04,1.94,0.027,1.981
0,3,1000,3,0,0.003,225.9,-1e-04,1.908,0.019,1.942
0,3,10000,3,0,0.0032,222.8,-1e-04,1.944,0.014,1.971
0,3,1,4,0,0.0085,387.9,0,2.843,0.022,2.891
0,3,10,4,0,0.0074,386.3,0,2.895,0.022,2.934
0,3,100,4,0,0.0091,383.6,0,2.903,0.022,2.943
0,3,1000,4,0,0.0083,384.2,0,2.849,0.06,2.919
0,3,10000,4,0,0.0081,384.9,0,2.876,0.038,2.926
0,3,1,5,0,0.0086,423.3,0,2.976,0.035,3.019
0,3,10,5,0,0.0087,421.1,0,2.8,0.022,2.836
0,3,100,5,0,0.0087,422.1,0,2.779,0.025,2.816
0,3,1000,5,0,0.0087,422.4,0,2.246,0.015,2.274
0,3,10000,5,0,0.0075,420.3,0,1.501,0.015,1.523
0,4,1,1,0,0.0057,38.1,-1.0872,0.87,0.015,0.881
0,4,10,1,0,0.0037,37.8,-0.9867,0.853,0.007,0.867
0,4,100,1,0,0.0053,39.8,-1.1531,0.881,0.011,0.895
0,4,1000,1,0,0.0039,37.1,-0.9757,0.87,0.009,0.883
0,4,10000,1,0,0.0048,38.5,-0.9578,0.886,0.004,0.888
0,4,1,2,0,0.001,137.1,-0.0037,1.293,0.017,1.314
0,4,10,2,0,0.0012,135.5,-0.0036,1.261,0.011,1.278
0,4,100,2,0,0.0012,136.1,-0.0037,1.284,0.001,1.289
0,4,1000,2,0,0.0014,132.5,-0.0037,1.375,0.01,1.402
0,4,10000,2,0,0.001,132.3,-0.0039,1.385,0.016,1.409
0,4,1,3,0,0.0018,220.1,0,1.847,0.014,1.874
0,4,10,3,0,0.0021,220.6,0,1.874,0.003,1.892
0,4,100,3,0,0.0022,220.6,-1e-04,1.887,0.016,1.921
0,4,1000,3,0,0.0021,220.9,-1e-04,1.889,0.008,1.912
0,4,10000,3,0,0.0022,220.3,-1e-04,1.9,0.01,1.921
0,4,1,4,0,0.002,351.2,0,2.661,0.008,2.685
0,4,10,4,0,0.0023,350.4,0,2.684,0.019,2.718
0,4,100,4,0,0.0022,341.9,0,2.663,0.005,2.686
0,4,1000,4,0,0.0023,342.5,0,2.595,0.028,2.634
0,4,10000,4,0,0.0023,343.8,0,2.587,0.006,2.612
0,4,1,5,0,0.0038,416,0,2.845,0.042,2.907
0,4,10,5,0,0.0043,412.8,0,2.605,0.022,2.649
0,4,100,5,0,0.0032,408,0,2.633,0.014,2.652
0,4,1000,5,0,0.0028,408.5,0,2.167,0.013,2.184
0,4,10000,5,0,0.0039,414.4,0,1.506,0.007,1.518
0,5,1,1,6e-04,0.017,62.2,-12.1493,1.16,0.008,1.173
0,5,10,1,0,0.0152,59.7,-18.2702,1.146,0.011,1.168
0,5,100,1,0,0.0194,65.4,-27.215,1.208,0.005,1.22
0,5,1000,1,0,0.0191,65.2,-35.3501,1.246,0.009,1.259
0,5,10000,1,0,0.0182,64.1,-24.2424,1.202,0.015,1.225
0,5,1,2,0,0.0048,161.5,-0.01,1.45,0.009,1.467
0,5,10,2,0,0.0043,164.5,-0.0092,1.45,0.012,1.478
0,5,100,2,0,0.0045,161.4,-0.0087,1.439,0.002,1.45
0,5,1000,2,0,0.0042,166.1,-0.0091,1.571,0.008,1.59
0,5,10000,2,0,0.0049,164.3,-0.0092,1.59,0.006,1.601
0,5,1,3,0,0.0045,259.2,-1e-04,2.114,0.01,2.13
0,5,10,3,0,0.0047,261.6,-1e-04,2.179,0.005,2.194
0,5,100,3,0,0.0044,252.2,-1e-04,2.096,0.012,2.119
0,5,1000,3,0,0.0045,265.3,-1e-04,2.193,0.008,2.207
0,5,10000,3,0,0.0039,257,-1e-04,2.152,0.006,2.179
0,5,1,4,0,0.0084,416.3,0,3.047,0.027,3.099
0,5,10,4,0,0.008,414,0,3.058,0.016,3.101
0,5,100,4,0,0.0077,419.8,0,3.139,0.014,3.166
0,5,1000,4,0,0.0087,417.3,0,3.031,0.014,3.067
0,5,10000,4,0,0.0085,422.7,0,3.032,0.016,3.052
0,5,1,5,0,0.0106,495.7,0,3.355,0.018,3.383
0,5,10,5,0,0.0101,493.8,0,3.189,0.013,3.232
0,5,100,5,0,0.0104,493.2,0,3.175,0.009,3.195
0,5,1000,5,0,0.0096,496.9,0,2.645,0.035,2.688
0,5,10000,5,0,0.0108,494,0,1.805,0.008,1.815
0,6,1,1,4e-04,0.0131,54.2,-8.3746,1.07,0,1.07
0,6,10,1,0,0.0116,53.4,-8.6501,1.073,0.002,1.082
0,6,100,1,0,0.0122,52.6,-7.7878,1.055,0.003,1.072
0,6,1000,1,0,0.0114,52.2,-7.9897,1.067,0.003,1.078
0,6,10000,1,0,0.0129,55.1,-8.8521,1.095,0.005,1.103
0,6,1,2,0,0.0046,137.6,-0.0092,1.32,0.003,1.325
0,6,10,2,0,0.0056,137.8,-0.0098,1.308,0.006,1.325
