"A","B","C","degree","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,0.036,0.0395,207,-197.8205,0.36,0.03,0.39
0,1,10,1,0.041,0.04,211,-2066.0376,0.78,0,0.78
0,1,100,1,0.0365,0.0395,193,-18918.1742,3.23,0,3.23
0,1,1000,1,0.0385,0.0405,225,-218504.3698,22.74,0,22.73
0,1,10000,1,0.038,0.07,210,-1963261.5972,118.96,0,119
0,1,1,2,0.002,0.008,44,-13.3729,0.23,0,0.23
0,1,10,2,0.0015,0.0195,44,-82.9323,0.38,0.03,0.41
0,1,100,2,0,0.0125,39,-77.1527,0.33,0,0.33
0,1,1000,2,0,0.0115,38,-48.3023,0.28,0,0.28
0,1,10000,2,0,0.013,39,-99.8874,0.23,0,0.23
0,1,1,3,0,0.0145,57,-0.768,0.33,0.02,0.35
0,1,10,3,0,0.0125,59,-1.4627,0.3,0,0.3
0,1,100,3,0,0.0105,57,-0.5561,0.26,0,0.27
0,1,1000,3,0,0.0125,67,-0.7897,0.25,0,0.25
0,1,10000,3,0,0.014,65,-1.1637,0.22,0,0.22
0,1,1,4,0,0.013,78,-0.0946,0.27,0,0.27
0,1,10,4,0,0.014,71,-0.0638,0.25,0,0.25
0,1,100,4,0,0.016,72,-0.1048,0.28,0,0.28
0,1,1000,4,0,0.0125,80,-0.1463,0.28,0,0.28
0,1,10000,4,0,0.014,77,-0.0899,0.27,0,0.27
0,1,1,5,0,0.009,74,-0.012,0.2,0.02,0.22
0,1,10,5,0,0.0145,82,-0.0295,0.23,0,0.24
0,1,100,5,0,0.016,105,-0.0234,0.31,0,0.31
0,1,1000,5,0,0.0145,73,-0.0828,0.28,0,0.28
0,1,10000,5,0,0.0175,75,-0.0192,0.26,0,0.26
0,2,1,1,0.158,0.1615,798,-788.7075,0.95,0.03,0.98
0,2,10,1,0.1515,0.1565,779,-7732.0175,1.86,0,1.86
0,2,100,1,0.1595,0.1615,813,-80751.144,8.75,0.06,8.81
0,2,1000,1,0.1575,0.16,796,-789836.1958,61.36,0.03,61.52
0,2,10000,1,0.3565,0.1795,752,-7430779.0474,302.25,0.02,302.86
0,2,1,2,0.071,0.0825,406,-373.3889,0.86,0.03,0.89
0,2,10,2,0.0805,0.091,422,-3940.1176,5.05,0.01,5.06
0,2,100,2,0.075,0.0895,402,-37455.2423,30,0.05,30.16
0,2,1000,2,0.086,0.078,361,-335987.3368,135.64,0.04,135.83
0,2,10000,2,0.0855,0.101,642,-3425513.4512,580.94,0.07,581.59
0,2,1,3,0.041,0.088,339,-249.1233,4.83,0.01,4.84
0,2,10,3,0.046,0.098,325,-2208.8111,43.7,0.05,43.84
0,2,100,3,0.043,0.1,315,-20836.9122,179.74,0,180.09
0,2,1000,3,0.0545,0.125,335,-196432.0813,296.84,0.03,297.39
0,2,10000,3,0.118,0.1565,506,-1020255.9302,401.2,0.05,401.87
0,2,1,4,0.015,0.1125,338,-102.9374,11.92,0.04,11.97
0,2,10,4,0.0055,0.1375,330,-497.8245,40.17,0,40.19
0,2,100,4,0.0025,0.17,330,-2920.2921,148.72,0.06,149.22
0,2,1000,4,0,0.1415,308,-2881.3204,99.34,0,99.6
0,2,10000,4,0,0.134,307,-1556.9555,59.26,0,59.33
0,2,1,5,0.0015,0.145,383,-40.312,11.41,0.05,11.45
0,2,10,5,0,0.143,357,-52.2817,13.08,0,13.08
0,2,100,5,0,0.1295,336,-35.6836,8.18,0,8.2
0,2,1000,5,0,0.1455,366,-27.2759,10.93,0.01,10.93
0,2,10000,5,0,0.1575,357,-47.3866,7.82,0,7.83
0,3,1,1,0.0565,0.0605,358,-343.6141,0.52,0.03,0.54
0,3,10,1,0.0765,0.0775,403,-3962.1927,1,0,1
0,3,100,1,0.0715,0.0725,401,-39662.567,4.28,0.02,4.29
0,3,1000,1,0.073,0.075,382,-377187.0564,28.42,0.01,28.44
0,3,10000,1,0.0665,0.0845,369,-3606957.9605,135.62,0.04,135.84
0,3,1,2,0.0365,0.045,229,-196.0828,0.54,0.01,0.57
0,3,10,2,0.0405,0.0565,233,-2087.3069,3.65,0,3.66
0,3,100,2,0.04,0.056,222,-19615.7284,27.13,0.02,27.14
0,3,1000,2,0.0435,0.0565,235,-207521.1769,114.91,0.07,115.14
0,3,10000,2,0.051,0.056,274,-1919423.4951,261.68,0.03,261.96
0,3,1,3,0.0225,0.0615,227,-128.9334,3.52,0,3.54
0,3,10,3,0.0165,0.076,201,-909.2852,13.31,0,13.31
0,3,100,3,0.0095,0.08,184,-6591.7444,61.64,0,61.64
0,3,1000,3,0.0315,0.081,173,-60617.5827,122.84,0.01,123.03
0,3,10000,3,0.0475,0.0855,166,-355782.1923,117.8,0.02,117.97
0,3,1,4,0.0075,0.0955,263,-55.6337,3.62,0,3.63
0,3,10,4,0,0.0845,213,-51.2757,2.32,0,2.33
0,3,100,4,0,0.0905,215,-59.8449,3.02,0,3.02
0,3,1000,4,0,0.094,220,-105.388,3.18,0,3.18
0,3,10000,4,0,0.0915,249,-122.9981,8.18,0,8.32
0,3,1,5,0,0.083,216,-6.2078,0.99,0.03,1.02
0,3,10,5,0,0.086,238,-16.4663,3.25,0,3.25
0,3,100,5,0,0.0795,226,-6.9581,0.87,0,0.87
0,3,1000,5,0,0.101,258,-10.345,1.75,0.03,1.79
0,3,10000,5,0,0.0925,237,-9.5197,1.71,0,1.7
