"A","B","C","degree","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,5e-04,0.017,66,-5.9117,2.44,0.1,2.53
0,1,10,1,0,0.0165,54,-4.344,2.46,0.09,2.55
0,1,100,1,0,0.013,62,-2.8029,2.45,0.06,2.52
0,1,1000,1,0,0.007,49,-1.7871,2.39,0.08,2.46
0,1,10000,1,0,0.0165,54,-3.3893,2.5,0.07,2.56
0,1,1,2,0,0.0275,302,-0.0274,4.53,0.12,4.66
0,1,10,2,0,0.024,303,-0.0215,4.64,0.04,4.69
0,1,100,2,0,0.0155,284,-0.0177,4.4,0.04,4.45
0,1,1000,2,0,0.0215,294,-0.0212,4.22,0.11,4.33
0,1,10000,2,0,0.016,296,-0.0155,4.25,0.04,4.3
0,1,1,3,0,0.023,338,-6e-04,4.79,0.05,4.83
0,1,10,3,0,0.0225,386,-4e-04,5.2,0.07,5.26
0,1,100,3,0,0.02,357,-3e-04,5.17,0.11,5.28
0,1,1000,3,0,0.023,384,-4e-04,5.26,0.09,5.37
0,1,10000,3,0,0.019,388,-4e-04,5.34,0.04,5.41
0,1,1,4,0,0.027,705,0,8.1,0.1,8.2
0,1,10,4,0,0.028,689,0,8.7,0.09,8.8
0,1,100,4,0,0.024,648,0,8.32,0.1,8.42
0,1,1000,4,0,0.026,711,0,8.52,0.11,8.72
0,1,10000,4,0,0.0265,672,0,8.8,0.11,8.91
0,1,1,5,0,0.032,741,0,9.2,0.17,9.43
0,1,10,5,0,0.033,770,0,8.44,0.08,8.51
0,1,100,5,0,0.0435,784,0,8.36,0.19,8.55
0,1,1000,5,0,0.0375,727,0,6.9,0.14,7.05
0,1,10000,5,0,0.0395,776,0,5.73,0.05,5.79
0,2,1,1,0.1075,0.1645,659,-537.3521,15.59,0.04,15.64
0,2,10,1,0.1115,0.178,661,-5451.9112,136.31,0.15,136.5
0,2,100,1,0.1125,0.182,652,-53580.0187,232.97,0.11,233.17
0,2,1000,1,0.119,0.1775,700,-523166.2918,573.78,0.12,574.31
0,2,10000,1,0.2685,0.237,1345,-3094103.638,1005.25,0.14,1006.03
0,2,1,2,0.003,0.2585,597,-25.8346,8.61,0.08,8.68
0,2,10,2,0.0025,0.2605,627,-118.1358,9.13,0.12,9.25
0,2,100,2,0.0035,0.278,621,-1454.8364,15.13,0.08,15.21
0,2,1000,2,0.0035,0.2855,665,-14033.6215,11.59,0.13,11.74
0,2,10000,2,0.003,0.2815,629,-120021.3577,9.28,0.1,9.37
0,2,1,3,0.0035,0.2615,909,-14.054,7.91,0.17,8.08
0,2,10,3,0.003,0.2335,889,-120.0385,7.89,0.13,8.02
0,2,100,3,0.0035,0.2465,940,-1400.0512,8.34,0.14,8.48
0,2,1000,3,0.0055,0.2275,866,-22000.0461,7.89,0.05,7.94
0,2,10000,3,0.002,0.2255,836,-80000.0669,7.48,0.09,7.58
0,2,1,4,0.005,0.257,1213,-20.0011,11.85,0.2,12.05
0,2,10,4,0.0025,0.2405,1196,-100.0008,11.82,0.11,11.92
0,2,100,4,0.0045,0.245,1206,-1800.0009,12.34,0.11,12.45
0,2,1000,4,0.0025,0.264,1212,-9999.9929,513.18,0.11,513.6
0,2,10000,4,0.004,0.2385,1192,-159999.9819,730.36,0.25,731.31
0,2,1,5,0.0025,0.239,1359,-10,12.17,0.18,12.36
0,2,10,5,0.006,0.2485,1346,-240,538.81,0.11,539.48
0,2,100,5,0.003,0.2415,1402,-1200.002,187.67,0.12,187.97
0,2,1000,5,0.004,0.2615,1394,-13999.9729,765.81,0.16,766.27
0,2,10000,5,0.0025,0.247,1377,-79999.8161,396.94,0.16,397.26
0,3,1,1,0.073,0.129,489,-377.672,9.83,0.11,9.94
0,3,10,1,0.0565,0.1295,412,-2941.2159,59.8,0.08,59.91
0,3,100,1,0.075,0.1255,446,-34341.9065,197.21,0.11,197.48
0,3,1000,1,0.0595,0.1275,415,-292162.1889,319.27,0.12,319.6
0,3,10000,1,0.1305,0.159,868,-2131610.9667,672.82,0.15,673.36
0,3,1,2,0.001,0.216,522,-9.5584,6.21,0.09,6.31
0,3,10,2,0.002,0.2165,538,-84.79,5.93,0.11,6.05
0,3,100,2,0.0015,0.2385,562,-612.0933,7.33,0.05,7.38
0,3,1000,2,0,0.2135,548,-7.835,5.82,0.12,5.93
0,3,10000,2,0.0025,0.217,559,-100004.1865,5.62,0.08,5.7
0,3,1,3,0.003,0.1825,800,-12.0313,7.25,0.07,7.33
0,3,10,3,0.002,0.161,706,-80.0359,6.06,0.06,6.13
0,3,100,3,0.003,0.1725,743,-1200.0299,6.48,0.11,6.59
0,3,1000,3,0.002,0.167,760,-8000.0233,6.55,0.06,6.61
0,3,10000,3,0.0045,0.1965,739,-180000.0634,6.43,0.09,6.54
0,3,1,4,0.0015,0.2065,1119,-6.0007,11.47,0.16,11.62
0,3,10,4,0.0015,0.205,1099,-60.0006,11.17,0.16,11.35
0,3,100,4,0.004,0.2035,1053,-1600.0006,10.9,0.09,11.02
0,3,1000,4,0.003,0.2175,1056,-12000.001,10.85,0.21,11.05
0,3,10000,4,0.0035,0.207,1051,-139999.9992,144.56,0.19,144.81
0,3,1,5,0.005,0.1775,1194,-20,312.24,0.14,312.5
0,3,10,5,0.004,0.1815,1202,-160,160.15,0.15,160.42
0,3,100,5,0.0025,0.1825,1177,-1000,437.83,0.14,438.22
0,3,1000,5,0.001,0.184,1246,-4000.0012,12.14,0.17,12.31
0,3,10000,5,0.004,0.183,1238,-140001.3728,167.03,0.13,167.24
