"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,0,0.4686,2000,-992.6375,12.972,0.326,13.396
0,1,10,1,0,0.44,2000,-993.6042,12.87,0.34,13.535
0,1,100,1,0,0.4558,2000,-993.5862,12.836,0.394,13.518
0,1,1000,1,0,0.4674,2000,-994.1203,12.959,0.369,13.361
0,1,10000,1,0,0.4386,2000,-993.6411,12.854,0.336,13.201
0,1,1,0.1,0,0.0704,1591.6,-415.7775,11.871,0.268,12.401
0,1,10,0.1,0,0.068,1602.8,-420.2791,11.977,0.28,12.514
0,1,100,0.1,0,0.0673,1601.3,-420.6736,12.03,0.267,12.432
0,1,1000,0.1,0,0.068,1600,-418.9531,7.166,0.19,7.439
0,1,10000,0.1,0,0.0674,1591.7,-417.4894,7.267,0.132,7.404
0,1,1,0.01,3e-04,0.0014,147,-33.1865,1.468,0.026,1.529
0,1,10,0.01,0,0.0019,143.7,-42.3145,1.441,0.012,1.481
0,1,100,0.01,0,0.002,143.5,-40.9552,1.448,0.018,1.469
0,1,1000,0.01,0,0.0017,137.5,-38.3023,1.415,0.009,1.425
0,1,10000,0.01,0,0.0017,135.1,-39.4672,1.378,0.01,1.411
0,1,1,0.001,0.005,0.0064,157.8,-99.1662,1.489,0.022,1.551
0,1,10,0.001,0.001,0.0037,71.1,-289.6657,0.982,0.014,1.011
0,1,100,0.001,0,0.0035,52.2,-459.1724,0.916,0.011,0.944
0,1,1000,0.001,0,0.0033,55,-581.7646,0.981,0.009,0.993
0,1,10000,0.001,0,0.0039,52,-497.0788,0.914,0.011,0.931
0,1,1,1e-04,0.0095,0.0099,451.2,-292.5965,2.461,0.015,2.491
0,1,10,1e-04,0.0058,0.0071,145.5,-952.4214,1.293,0.011,1.314
0,1,100,1e-04,0.0029,0.0061,68.6,-3676.9434,0.961,0.005,0.967
0,1,1000,1e-04,5e-04,0.0057,47.4,-10995.8725,0.838,0.009,0.85
0,1,10000,1e-04,0,0.0069,47,-14341.9721,0.808,0.007,0.814
0,2,1,1,0,0.5137,2000,-999.9951,12.819,0.307,13.188
0,2,10,1,0,0.517,2000,-999.9952,12.559,0.32,13.093
0,2,100,1,0,0.5138,2000,-999.9966,12.755,0.299,13.274
0,2,1000,1,0,0.518,2000,-999.9949,12.916,0.328,13.271
0,2,10000,1,0,0.514,2000,-999.9972,12.922,0.225,13.209
0,2,1,0.1,0,0.1144,1914.1,-632.5163,12.441,0.374,12.993
0,2,10,0.1,0,0.1063,1911.4,-631.2391,12.432,0.236,12.884
0,2,100,0.1,0,0.1069,1914.7,-636.1338,12.569,0.278,12.911
0,2,1000,0.1,0,0.1036,1913.8,-632.559,7.663,0.149,7.859
0,2,10000,0.1,0,0.1048,1915.2,-635.4065,7.69,0.171,7.862
0,2,1,0.01,7e-04,0.004,191.9,-57.955,1.733,0.025,1.784
0,2,10,0.01,0,0.0042,175.6,-65.8363,1.612,0.02,1.654
0,2,100,0.01,0,0.0038,175.9,-63.9039,1.67,0.008,1.675
0,2,1000,0.01,0,0.0037,179.6,-66.8712,1.676,0.023,1.698
0,2,10000,0.01,0,0.0037,172.4,-67.5242,1.62,0.029,1.651
0,2,1,0.001,0.0059,0.0075,231.2,-145.4349,2.017,0.013,2.049
0,2,10,0.001,0.0025,0.0066,100.7,-473.486,1.188,0.025,1.232
0,2,100,0.001,1e-04,0.0063,72.4,-908.7407,1.118,0.008,1.134
0,2,1000,0.001,0,0.0071,68.9,-927.6787,1.106,0.009,1.115
0,2,10000,0.001,0,0.0068,70.1,-1019.0164,1.133,0.007,1.14
0,2,1,1e-04,0.0139,0.0157,655.2,-439.1825,3.494,0.035,3.527
0,2,10,1e-04,0.0064,0.0078,223.7,-1438.079,1.865,0.013,1.907
0,2,100,1e-04,0.0044,0.0077,96.9,-5370.3671,1.194,0.014,1.226
0,2,1000,1e-04,5e-04,0.0082,57.7,-14374.5746,1.083,0.014,1.109
0,2,10000,1e-04,0,0.0094,53.1,-17395.9968,1.079,0.013,1.092
0,3,1,1,0,0.5145,2000,-999.9952,12.764,0.315,13.103
0,3,10,1,0,0.5145,2000,-999.9971,12.684,0.255,13.055
0,3,100,1,0,0.516,2000,-999.9956,12.735,0.226,13.072
0,3,1000,1,0,0.5131,2000,-999.9965,12.931,0.279,13.222
0,3,10000,1,0,0.5112,2000,-999.9949,12.88,0.239,13.136
0,3,1,0.1,0,0.0799,1910.1,-585.5742,12.487,0.25,12.839
0,3,10,0.1,0,0.0719,1897.3,-580.1201,12.367,0.22,12.715
0,3,100,0.1,0,0.0738,1905.4,-586.3962,12.476,0.292,12.786
0,3,1000,0.1,0,0.072,1903.5,-585.6869,7.433,0.177,7.765
0,3,10000,0.1,0,0.0734,1898.5,-582.9492,7.477,0.201,7.682
0,3,1,0.01,3e-04,0.002,166.1,-45.8128,1.59,0.009,1.623
0,3,10,0.01,0,0.0029,157,-52.6614,1.501,0.009,1.53
0,3,100,0.01,0,0.0023,155.3,-50.451,1.511,0.004,1.53
0,3,1000,0.01,0,0.0018,152.7,-52.1688,1.506,0.011,1.518
0,3,10000,0.01,0,0.0017,155.6,-48.5701,1.516,0.009,1.528
0,3,1,0.001,0.0037,0.0046,196.7,-117.8501,1.824,0.009,1.949
0,3,10,0.001,0.0016,0.0039,78.6,-335.4456,1.126,0.005,1.259
0,3,100,0.001,0,0.0047,58,-561.4044,0.987,0.007,1.125
0,3,1000,0.001,0,0.0038,58,-511.6158,0.998,0.007,1.12
0,3,10000,0.001,0,0.0047,58.9,-541.4819,1.037,0.003,1.041
0,3,1,1e-04,0.006,0.0064,633,-404.5314,3.353,0.017,3.372
0,3,10,1e-04,0.004,0.0052,186.1,-1133.7323,1.617,0.005,1.622
0,3,100,1e-04,0.0026,0.0054,72.7,-3533.3135,1.04,0.003,1.054
0,3,1000,1e-04,2e-04,0.0068,47.7,-8777.0863,0.954,0.001,0.961
0,3,10000,1e-04,0,0.0053,45.3,-8380.0407,0.97,0.003,0.982
0,4,1,1,0,0.516,2000,-999.9909,13.039,0.178,13.262
0,4,10,1,0,0.5135,2000,-999.9929,12.873,0.272,13.271
0,4,100,1,0,0.5158,2000,-999.9916,12.982,0.183,13.299
0,4,1000,1,0,0.5196,2000,-999.9906,13.06,0.151,13.278
0,4,10000,1,0,0.519,2000,-999.9937,13.039,0.173,13.254
0,4,1,0.1,0,0.0756,1891,-579.532,12.502,0.251,12.864
0,4,10,0.1,0,0.0721,1893.8,-582.3866,12.442,0.199,12.779
0,4,100,0.1,0,0.0715,1896.5,-583.257,12.568,0.262,12.87
0,4,1000,0.1,0,0.0704,1898.5,-584.7799,7.279,0.128,7.443
0,4,10000,0.1,0,0.0732,1893,-583.4844,7.245,0.175,7.456
0,4,1,0.01,1e-04,0.002,149.8,-32.124,1.494,0.009,1.504
0,4,10,0.01,0,0.0019,148.8,-34.8885,1.466,0.006,1.471
0,4,100,0.01,0,0.0019,154.2,-34.9079,1.48,0.012,1.508
0,4,1000,0.01,0,0.0022,152.3,-34.1738,1.495,0,1.5
0,4,10000,0.01,0,0.0019,151.3,-34.3234,1.509,0,1.509
0,4,1,0.001,0.0023,0.0038,145.9,-84.3617,1.505,0.003,1.524
0,4,10,0.001,0.0011,0.0028,58.5,-219.5295,0.969,0.006,0.976
0,4,100,0.001,0,0.0035,51.3,-345.8897,0.932,0,0.932
0,4,1000,0.001,0,0.0033,49.5,-312.2987,0.91,0.015,0.938
0,4,10000,0.001,0,0.0031,49.6,-334.4559,0.927,0,0.927
0,4,1,1e-04,0.0043,0.0049,483.4,-297.5807,2.724,0.005,2.73
0,4,10,1e-04,0.0025,0.0038,137.5,-816.1599,1.405,0.003,1.43
0,4,100,1e-04,0.0013,0.0028,55.3,-2338.4118,0.962,0.008,0.968
0,4,1000,1e-04,1e-04,0.0043,40.8,-4275.0402,0.853,0,0.853
0,4,10000,1e-04,0,0.0042,40.5,-4499.2764,0.812,0.002,0.828
0,5,1,1,0,0.5101,2000,-999.9943,12.947,0.194,13.154
0,5,10,1,0,0.5151,2000,-999.9928,12.693,0.235,13.025
0,5,100,1,0,0.5135,2000,-999.9947,12.628,0.19,12.932
0,5,1000,1,0,0.511,2000,-999.9944,13.014,0.222,13.262
0,5,10000,1,0,0.5196,2000,-999.9942,13.123,0.195,13.328
0,5,1,0.1,0,0.0693,1874.6,-567.9595,12.471,0.182,12.766
0,5,10,0.1,0,0.0642,1878.4,-571.0981,12.464,0.157,12.721
0,5,100,0.1,0,0.0619,1877.7,-569.5444,12.58,0.225,12.817
0,5,1000,0.1,0,0.0672,1881.7,-571.1562,7.823,0.156,8.008
0,5,10000,0.1,0,0.064,1877.7,-571.0592,7.799,0.175,8.003
0,5,1,0.01,0.001,0.0047,197.9,-63.3727,1.794,0.003,1.8
0,5,10,0.01,0,0.004,181.2,-76.3254,1.672,0.006,1.692
0,5,100,0.01,0,0.0039,180,-74.7615,1.693,0.004,1.706
0,5,1000,0.01,0,0.0044,176.4,-78.2718,1.689,0.005,1.699
0,5,10000,0.01,0,0.0041,176,-78.3441,1.686,0.001,1.689
0,5,1,0.001,0.0081,0.0106,255.6,-166.2013,2.198,0.003,2.198
0,5,10,0.001,0.0045,0.0082,109.5,-563.0375,1.314,0.003,1.316
0,5,100,0.001,2e-04,0.0086,83.1,-1310.2126,1.224,0.003,1.242
0,5,1000,0.001,0,0.0088,83.9,-1311.5676,1.229,0.003,1.242
0,5,10000,0.001,0,0.0079,87.1,-1443.5694,1.256,0.001,1.258
0,5,1,1e-04,0.0144,0.0156,719.4,-476.0278,3.781,0.01,3.797
0,5,10,1e-04,0.0093,0.0111,244.8,-1627.1719,1.948,0,1.949
