"A","B","C","sigma","error","cross","SVs","obj.fun","t.user","t.sys","t.elapsed"
0,1,1,1,5e-04,0.0118,779.3,-145.9648,1.644,0.063,1.749
0,1,10,1,0,0.0113,768.2,-148.2566,1.571,0.083,1.664
0,1,100,1,0,0.0106,778.7,-145.8237,1.608,0.078,1.723
0,1,1000,1,0,0.0118,773.1,-149.888,1.549,0.075,1.65
0,1,10000,1,0,0.0116,776.2,-149.4948,1.585,0.103,1.703
0,1,1,0.1,0.0066,0.0087,122.9,-69.4993,0.375,0.002,0.38
0,1,10,0.1,0.0019,0.0077,75.8,-238.4035,0.318,0.003,0.332
0,1,100,0.1,0,0.0086,67.4,-398.9744,0.342,0.002,0.347
0,1,1000,0.1,0,0.0106,70.6,-525.1001,0.344,0.008,0.364
0,1,10000,0.1,0,0.0103,68.6,-621.5143,0.356,0,0.357
0,1,1,0.01,0.0107,0.0115,244.7,-170.6032,0.631,0.011,0.643
0,1,10,0.01,0.0088,0.0106,113.4,-810.3289,0.385,0,0.39
0,1,100,0.01,0.0056,0.0085,70.9,-4431.6724,0.391,0.003,0.397
0,1,1000,0.01,0.0018,0.0081,49.9,-18126.7221,0.41,0.001,0.411
0,1,10000,0.01,2e-04,0.0098,42.7,-49614.9119,0.486,0.002,0.502
0,1,1,0.001,0.0288,0.0305,783.1,-558.2287,1.512,0.069,1.609
0,1,10,0.001,0.0222,0.0231,324.5,-2456.8486,0.735,0.029,0.763
0,1,100,0.001,0.0144,0.0161,169,-13080.6558,0.477,0.008,0.493
0,1,1000,0.001,0.0089,0.0114,100.2,-73688.4764,0.445,0.003,0.451
0,1,10000,0.001,0.0057,0.009,64.9,-407318.2765,0.55,0.003,0.556
0,1,1,1e-04,0.0891,0.1202,1775.4,-1359.548,2.606,0.124,2.738
0,1,10,1e-04,0.0356,0.0369,799.4,-5824.103,1.375,0.05,1.436
0,1,100,1e-04,0.0332,0.0349,356.6,-28376.1559,0.734,0.022,0.756
0,1,1000,1e-04,0.0266,0.0293,225.1,-189586.2889,0.539,0.002,0.54
0,1,10000,1e-04,0.0152,0.0179,160.1,-1278847.7246,0.521,0,0.526
0,2,1,1,0.0415,0.0986,982.1,-429.3482,1.876,0.096,1.998
0,2,10,1,0.0072,0.117,859.8,-1226.0795,1.881,0.087,1.982
0,2,100,1,1e-04,0.1228,787.1,-1596.174,1.819,0.087,1.935
0,2,1000,1,0,0.1236,794.5,-1927.3832,1.852,0.041,1.925
0,2,10000,1,0,0.1271,797.3,-1880.2709,1.859,0.076,1.944
0,2,1,0.1,0.0925,0.1042,664.7,-555.353,1.368,0.048,1.425
0,2,10,0.1,0.0695,0.0936,492.8,-3946.3754,1.076,0.037,1.123
0,2,100,0.1,0.0532,0.0929,429.2,-29332.7019,1.514,0.032,1.553
0,2,1000,0.1,0.0315,0.1057,403.3,-195682.8078,4.539,0.025,4.609
0,2,10000,0.1,0.0126,0.1232,382.2,-990126.5607,13.074,0.02,13.096
0,2,1,0.01,0.1462,0.151,1008.6,-881.4828,1.994,0.09,2.117
0,2,10,0.01,0.114,0.1209,750,-6612.2561,1.529,0.047,1.579
0,2,100,0.01,0.0898,0.0986,579.9,-50518.1901,1.343,0.038,1.385
0,2,1000,0.01,0.0754,0.0908,454.1,-399579.6267,1.922,0.044,1.968
0,2,10000,0.01,0.0638,0.0891,409.1,-3418850.2594,6.537,0.03,6.571
0,2,1,0.001,0.1872,0.201,1541.8,-1306.5881,2.977,0.115,3.091
0,2,10,0.001,0.1642,0.1667,1025.9,-9252.0064,2.059,0.078,2.153
0,2,100,0.001,0.149,0.1546,826.6,-77545.8214,1.683,0.045,1.738
0,2,1000,0.001,0.1142,0.1212,720.7,-642648.2771,1.742,0.051,1.794
0,2,10000,0.001,0.089,0.0986,567.6,-4990943.9892,2.549,0.039,2.592
0,2,1,1e-04,0.3114,0.4224,1992.8,-1817.75,3.314,0.168,3.484
0,2,10,1e-04,0.1846,0.1967,1537.4,-13035.9162,2.802,0.131,2.948
0,2,100,1e-04,0.1662,0.1692,1032.6,-93850.4795,2.053,0.078,2.142
0,2,1000,1e-04,0.1578,0.161,836.5,-810815.8234,1.786,0.041,1.835
0,2,10000,1e-04,0.1482,0.1541,807.1,-7700354.4078,1.896,0.069,1.972
0,3,1,1,0.018,0.0543,817.2,-290.71,1.529,0.072,1.622
0,3,10,1,0.0015,0.0686,729.9,-593.7594,1.578,0.04,1.629
0,3,100,1,0,0.0704,700.8,-647.645,1.453,0.067,1.548
0,3,1000,1,0,0.0697,705,-651.4235,1.514,0.036,1.554
0,3,10000,1,0,0.0648,699.7,-627.5234,1.403,0.066,1.502
0,3,1,0.1,0.0452,0.0516,407.8,-317.9742,0.823,0.032,0.854
0,3,10,0.1,0.0363,0.0506,290.7,-2145.0742,0.711,0.008,0.726
0,3,100,0.1,0.023,0.0558,256.1,-14560.7886,0.92,0.005,0.932
0,3,1000,0.1,0.0116,0.0678,239.7,-78998.0075,1.877,0.007,1.914
0,3,10000,0.1,0.0021,0.0777,228.9,-253098.9436,4.011,0.012,4.037
0,3,1,0.01,0.0666,0.0691,680.1,-541.1546,1.409,0.041,1.47
0,3,10,0.01,0.0537,0.0578,396.5,-3395.3585,0.867,0.025,0.89
0,3,100,0.01,0.0454,0.0506,307,-26541.5497,0.787,0.014,0.81
0,3,1000,0.01,0.0395,0.0502,255.8,-213302.3286,1.148,0.013,1.167
0,3,10000,0.01,0.0326,0.053,237.1,-1783899.9566,3.707,0.009,3.733
0,3,1,0.001,0.0916,0.0982,1369.7,-1051.5397,2.71,0.142,2.866
0,3,10,0.001,0.0677,0.0702,676.3,-5457.9178,1.372,0.039,1.43
0,3,100,0.001,0.0656,0.0674,419.7,-37896.3355,0.925,0.035,0.97
0,3,1000,0.001,0.0576,0.0628,351.4,-320311.8065,0.889,0.008,0.908
0,3,10000,0.001,0.0458,0.0515,297.2,-2621789.2151,1.358,0.009,1.39
0,3,1,1e-04,0.2153,0.3836,1993,-1762.7365,3.183,0.132,3.338
0,3,10,1e-04,0.0884,0.0952,1368.1,-10471.2929,2.376,0.097,2.489
0,3,100,1e-04,0.0697,0.071,671.8,-54489.6749,1.329,0.052,1.391
0,3,1000,1e-04,0.0687,0.0707,427.2,-391094.9945,0.951,0.009,0.971
0,3,10000,1e-04,0.0618,0.0646,350.4,-3360644.8026,0.848,0.005,0.859
0,4,1,1,0.0215,0.0664,904.9,-317.7224,1.745,0.063,1.818
0,4,10,1,0.003,0.0808,813.4,-713.9085,1.693,0.064,1.758
0,4,100,1,0,0.0807,783,-862.6617,1.667,0.064,1.746
0,4,1000,1,0,0.0804,775.1,-870.3417,1.625,0.05,1.688
0,4,10000,1,0,0.0786,767.6,-829.4773,1.6,0.059,1.661
0,4,1,0.1,0.0628,0.072,547,-432.9524,1.07,0.039,1.105
0,4,10,0.1,0.0457,0.0634,374.7,-2739.4387,0.863,0.006,0.876
0,4,100,0.1,0.0301,0.0658,304.8,-18063.0548,1.064,0.012,1.087
0,4,1000,0.1,0.0168,0.0772,279.2,-105965.6186,2.494,0.003,2.523
0,4,10000,0.1,0.005,0.0925,264.1,-465821.4077,6.621,0.007,6.694
0,4,1,0.01,0.1434,0.1524,976.4,-855.8465,1.949,0.064,2.04
0,4,10,0.01,0.0896,0.0982,705.3,-5904.6628,1.416,0.053,1.477
0,4,100,0.01,0.061,0.0696,479.1,-39491.5472,1.143,0.021,1.193
0,4,1000,0.01,0.0463,0.0592,330.7,-272911.4951,1.47,0.022,1.513
0,4,10000,0.01,0.0417,0.0638,294.3,-2263092.1226,4.691,0.013,4.709
0,4,1,0.001,0.1859,0.1894,1366,-1180.3147,2.671,0.079,2.76
0,4,10,0.001,0.1853,0.189,1002.6,-9385.5563,1.981,0.079,2.089
0,4,100,0.001,0.1472,0.1561,883.9,-80507.6185,1.832,0.06,1.929
0,4,1000,0.001,0.091,0.0996,689.2,-580557.2427,1.734,0.039,1.775
0,4,10000,0.001,0.0646,0.0723,473.6,-3987506.1625,2.289,0.035,2.359
0,4,1,1e-04,0.2305,0.312,1977.6,-1741.8738,3.526,0.153,3.715
0,4,10,1e-04,0.1932,0.1969,1379.4,-11966.7844,2.515,0.088,2.605
0,4,100,1e-04,0.1848,0.1872,985.7,-93150.7699,1.849,0.062,1.918
0,4,1000,1e-04,0.183,0.1877,905.8,-884117.3166,1.842,0.056,1.907
0,4,10000,1e-04,0.146,0.1546,862.2,-7894194.5291,1.961,0.078,2.043
0,5,1,1,0.031,0.0802,932.7,-366.4001,1.817,0.047,1.874
0,5,10,1,0.0066,0.098,831,-1051.7146,1.789,0.047,1.849
0,5,100,1,1e-04,0.1074,771.6,-1531.7813,1.731,0.051,1.795
0,5,1000,1,0,0.1008,765.5,-1335.5158,1.689,0.045,1.753
0,5,10000,1,0,0.1074,767.7,-1687.3876,1.763,0.059,1.832
0,5,1,0.1,0.0754,0.0856,574.7,-476.3146,1.102,0.028,1.133
0,5,10,0.1,0.0576,0.0768,440.5,-3482.0236,0.976,0.008,0.992
0,5,100,0.1,0.0432,0.0804,380.9,-25356.3913,1.306,0.009,1.322
0,5,1000,0.1,0.0248,0.0917,348.2,-160378.175,3.416,0.006,3.453
0,5,10000,0.1,0.0116,0.1108,339.1,-880663.9191,10.209,0.003,10.218
0,5,1,0.01,0.1402,0.146,882,-786.1527,1.747,0.049,1.814
0,5,10,0.01,0.1041,0.1112,679.9,-5945.5997,1.369,0.04,1.417
0,5,100,0.01,0.0716,0.081,510,-44200.8502,1.17,0.025,1.206
0,5,1000,0.01,0.0643,0.0785,414.4,-359500.2095,1.716,0.023,1.741
0,5,10000,0.01,0.0546,0.076,359.2,-2948003.2527,5.524,0.011,5.539
0,5,1,0.001,0.1706,0.1739,1264.5,-1084.6167,2.464,0.09,2.565
0,5,10,0.001,0.1662,0.1696,920.1,-8566.7154,1.787,0.057,1.862
0,5,100,0.001,0.1387,0.1444,782.1,-72431.5469,1.578,0.046,1.632
0,5,1000,0.001,0.1017,0.1088,665.7,-589128.1887,1.565,0.033,1.61
0,5,10000,0.001,0.0754,0.0842,503.4,-4429145.9705,2.244,0.042,2.287
0,5,1,1e-04,0.2542,0.2631,1907.5,-1635.4195,3.22,0.109,3.328
0,5,10,1e-04,0.171,0.1739,1267.4,-10922.8637,2.376,0.083,2.47
0,5,100,1e-04,0.1667,0.1693,909.3,-85487.2599,1.745,0.049,1.802
0,5,1000,1e-04,0.1606,0.1639,819.5,-794753.4051,1.681,0.041,1.733
0,5,10000,1e-04,0.1398,0.1461,767.6,-7182568.0273,1.848,0.041,1.897
0,6,1,1,0.0081,0.0248,661.7,-174.7327,1.277,0.026,1.311
0,6,10,1,1e-04,0.0286,600.6,-259.2301,1.231,0.025,1.273
0,6,100,1,0,0.0276,595.9,-250.1178,1.193,0.037,1.238
0,6,1000,1,0,0.0274,598.3,-267.4065,1.165,0.041,1.216
0,6,10000,1,0,0.0271,606.1,-266.7925,1.189,0.054,1.243
0,6,1,0.1,0.0199,0.023,209.6,-152.1545,0.47,0.004,0.473
0,6,10,0.1,0.0134,0.0226,138.3,-866.7431,0.427,0,0.431
0,6,100,0.1,0.0082,0.0284,131.6,-5506.57,0.509,0,0.519
0,6,1000,0.1,0.0022,0.0364,126.3,-22768.8471,0.698,0,0.713
0,6,10000,0.1,0,0.0418,124,-38358.7308,0.826,0,0.842
0,6,1,0.01,0.0225,0.0236,352.3,-258.7126,0.768,0,0.791
0,6,10,0.01,0.0202,0.0228,175.5,-1431.9029,0.442,0.001,0.453
