"kernel","C","p1","p2","error","cross","numSV","obj_f","time.elapsed","real_error"
"tanhdot",100,0.01,-1.2,0.163,0.164,376,-32239.543,7.339,0.206
"rbfdot",1,0.1,,0.163,0.165,419,-324.942,9.889,0.201
"tanhdot",1000,0.01,-2.4,0.163,0.165,376,-319773.962,11.112,
"tanhdot",10000,0.001,-1.8,0.159,0.165,373,-3216251.731,8.785,0.206
"rbfdot",10,0.01,,0.164,0.165,386,-3305.327,7.425,0.206
"polydot",0.01,2,1,0.165,0.166,394,-3.301,6.593,0.206
"rbfdot",100,0.001,,0.165,0.167,390,-34729.382,10.237,
"tanhdot",100,0.01,-1.8,0.164,0.168,406,-34300.999,10.376,
"rbfdot",100000,0.0001,,0.157,0.168,361,-30508640.143,34.91,
"tanhdot",100,0.01,-0.6,0.158,0.168,365,-31430.149,11.839,
"rbfdot",1000,0.001,,0.158,0.168,372,-310327.46,16.195,
"polydot",0.01,2,0,0.165,0.168,403,-3.366,8.689,
"tanhdot",100000,0.001,-1.2,0.15,0.168,371,-28424291.441,58.675,0.187
"tanhdot",1000,0.01,-1.8,0.158,0.168,366,-302456.886,10.954,
"tanhdot",1000,0.001,-0.6,0.163,0.169,371,-332218.483,11.829,
"rbfdot",10000,0.001,,0.155,0.169,364,-2873239.301,39.296,
"tanhdot",10000,0.001,-2.4,0.163,0.169,387,-3400516.938,7.61,
"tanhdot",100000,0.001,-1.8,0.156,0.169,366,-29465187.37,40.119,
"tanhdot",10000,0.001,-0.6,0.157,0.169,373,-3019957.487,32.607,
"tanhdot",100000,0.0001,-0.6,0.159,0.17,375,-31980564.48,18.71,
"rbfdot",100,0.01,,0.158,0.17,369,-29382.084,9.631,
"rbfdot",10000,0.0001,,0.162,0.17,372,-3266373.708,11.68,
"tanhdot",1000,0.001,-1.2,0.165,0.171,380,-342194.074,7.451,
"tanhdot",100000,0.001,-2.4,0.158,0.171,363,-30548901.689,15.233,
"tanhdot",10000,0.001,-1.2,0.158,0.171,369,-3071975.301,20.928,
"tanhdot",100000,0.0001,-1.8,0.164,0.172,374,-33518005.64,12.501,
"tanhdot",10000,0.00001,0,0.171,0.172,401,-3671957.599,9.702,
"tanhdot",100,0.001,0,0.171,0.172,403,-36722.937,9.665,
"tanhdot",1000,0.01,-1.2,0.153,0.173,371,-287936.389,16.847,
"tanhdot",100000,0.00001,1.8,0.169,0.173,396,-36921005.645,8.416,
"tanhdot",10000,0.0001,-1.8,0.171,0.173,406,-3661012.22,8.783,
"polydot",0.1,1,0,0.171,0.173,403,-36.72,9.342,
"tanhdot",100000,0.00001,-1.8,0.171,0.173,398,-36967861.503,10.862,
"tanhdot",10000,0.00001,0.6,0.172,0.173,413,-3749212.66,10.778,
"tanhdot",10000,0.0001,-0.6,0.168,0.173,373,-3397344.075,12.153,
"polydot",0.1,1,1,0.171,0.173,402,-36.72,8.502,
"rbfdot",100000,0.00001,,0.164,0.173,365,-33304308.896,15.119,
"tanhdot",1000,0.001,1.8,0.172,0.174,404,-370694.088,9.858,
"tanhdot",100000,0.0001,-1.2,0.159,0.174,365,-32423054.277,11.582,
"tanhdot",10000,0.0001,1.8,0.171,0.174,402,-3669622.349,7.58,
"tanhdot",100,0.001,-0.6,0.171,0.174,413,-37281.043,7.689,
"tanhdot",100000,0.00001,0,0.167,0.174,371,-33769127.728,7.815,
"tanhdot",1000,0.0001,0.6,0.172,0.174,414,-374705.954,7.244,
"rbfdot",0.1,0.1,,0.165,0.174,549,-44.356,10.739,
"tanhdot",10,0.01,0,0.172,0.174,404,-3705.919,9.038,
"tanhdot",100000,0.0001,1.8,0.166,0.174,371,-34129683.363,12.248,
"tanhdot",1000,0.0001,0,0.171,0.175,402,-367196.114,6.258,
"tanhdot",10,0.01,-0.6,0.166,0.175,408,-3614.642,7.267,
"polydot",1,1,1,0.165,0.175,370,-337.691,9.87,
"polydot",1,1,0,0.166,0.175,372,-337.691,8.364,
"tanhdot",10000,0.0001,0,0.166,0.175,370,-3376936.287,11.154,
"tanhdot",10000,0.00001,-0.6,0.172,0.175,414,-3746397.934,10.667,
"tanhdot",1000,0.0001,-0.6,0.172,0.175,414,-374318.321,10.448,
"tanhdot",100,0.001,0.6,0.171,0.176,409,-37629.683,7.698,
"tanhdot",1,0.1,-2.4,0.181,0.176,588,-472.418,10.009,
"tanhdot",10000,0.0001,1.2,0.172,0.176,381,-3496884.953,11.239,
"tanhdot",100000,0.0001,2.4,0.172,0.176,382,-34779281.544,7.835,
"rbfdot",10000,0.00001,,0.169,0.176,383,-3549431.628,8.576,
"tanhdot",1000,0.001,-1.8,0.166,0.176,410,-362703.929,10.262,
"tanhdot",1000,0.001,1.2,0.175,0.176,383,-357306.31,7.982,
"tanhdot",1000,0.001,0,0.165,0.177,372,-337936.786,12.22,
"rbfdot",1000,0.0001,,0.169,0.177,386,-353978.094,9.573,
"tanhdot",100000,0.00001,1.2,0.171,0.178,381,-34948175.862,10.635,
"tanhdot",10000,0.0001,-1.2,0.168,0.178,382,-3481995.955,7.568,
"polydot",0.1,2,0,0.132,0.178,378,-28.186,7.795,
"tanhdot",100000,0.0001,-2.4,0.171,0.178,383,-34788430.861,8.81,
"tanhdot",10000,0.001,2.4,0.175,0.178,377,-3587314.657,11.887,
"tanhdot",100,0.01,-2.4,0.176,0.178,437,-37912.152,8.573,
"tanhdot",100000,0.00001,-0.6,0.167,0.178,373,-34165255.702,12.221,
"tanhdot",100000,0.0001,0,0.165,0.178,365,-32634678.967,22.428,
"polydot",100,1,1,0.164,0.178,381,-32435.947,74.853,
"tanhdot",1000,0.001,0.6,0.173,0.179,368,-351895.042,10.849,
"tanhdot",100000,0.00001,-1.2,0.171,0.179,376,-34612670.958,10.688,
"tanhdot",10000,0.0001,0.6,0.166,0.179,378,-3418811.461,12.1,
"polydot",0.01,3,0,0.128,0.179,396,-2.672,11.349,0.804
"polydot",0.01,3,1,0.129,0.18,390,-2.599,10.505,
"tanhdot",100000,0.00001,0.6,0.168,0.18,373,-34356188.371,12.68,
