"testtype","mincriterion","minsplit","minbucket","maxdepth","N1","N0","Time","Term","N","err","idx","err_all","min_idx","real_error"
"Univariate",0.95,10,5,0,728,145,12.113,825,98,0.1661,1,0.165,1,0.206
"Univariate",0.95,10,5,6,728,145,12.286,825,98,0.1661,2,0.165,1,
"Univariate",0.95,20,5,0,728,145,12.246,823,98,0.1661,3,0.165,1,
"Univariate",0.95,20,5,6,728,145,11.858,823,98,0.1661,4,0.165,1,
"Univariate",0.95,40,5,0,728,145,12.589,726,98,0.1661,5,0.165,1,
"Univariate",0.95,40,5,6,728,145,11.848,726,98,0.1661,6,0.165,1,
"Univariate",0.95,60,5,0,728,145,11.493,726,98,0.1661,7,0.165,1,
"Univariate",0.95,60,5,6,728,145,11.78,726,98,0.1661,8,0.165,1,
"Univariate",0.95,10,5,5,727,146,12.824,824,98,0.1672,9,0.165,1,
"Univariate",0.95,20,5,5,727,146,11.604,822,98,0.1672,10,0.165,1,
"Univariate",0.95,40,5,5,727,146,12.151,725,98,0.1672,11,0.165,1,
"Univariate",0.95,60,5,5,727,146,11.212,725,98,0.1672,12,0.165,1,
"Univariate",0.9,10,5,5,694,143,13.429,1208,94,0.1708,13,0.165,1,
"Univariate",0.9,20,5,5,694,143,12.124,1123,94,0.1708,14,0.165,1,
"Univariate",0.9,40,5,5,694,143,12.873,1030,94,0.1708,15,0.165,1,
"Univariate",0.9,60,5,5,694,143,12.292,942,94,0.1708,16,0.165,1,
"Univariate",0.9,60,5,6,694,143,11.848,951,94,0.1708,17,0.165,1,
"Teststatistic",0.9,40,30,0,723,150,14.759,1297,98,0.1718,18,0.1627,18,0.23
"Teststatistic",0.9,40,30,5,723,150,13.908,1287,98,0.1718,19,0.1627,18,
"Teststatistic",0.9,40,30,6,723,150,14.486,1296,98,0.1718,20,0.1627,18,
"Teststatistic",0.9,60,30,0,723,150,13.691,1297,98,0.1718,21,0.1627,18,
"Teststatistic",0.9,60,30,5,723,150,14.165,1287,98,0.1718,22,0.1627,18,
"Teststatistic",0.9,60,30,6,723,150,13.963,1296,98,0.1718,23,0.1627,18,
"Teststatistic",0.95,40,30,0,723,150,14.716,1297,98,0.1718,24,0.1627,18,
"Teststatistic",0.95,40,30,5,723,150,13.984,1287,98,0.1718,25,0.1627,18,
"Teststatistic",0.95,40,30,6,723,150,14.353,1296,98,0.1718,26,0.1627,18,
"Teststatistic",0.95,60,30,0,723,150,14.612,1297,98,0.1718,27,0.1627,18,
"Teststatistic",0.95,60,30,5,723,150,14.119,1287,98,0.1718,28,0.1627,18,
"Teststatistic",0.95,60,30,6,723,150,13.758,1296,98,0.1718,29,0.1627,18,
"Teststatistic",0.99,40,30,0,723,150,14.509,1297,98,0.1718,30,0.1627,18,
"Teststatistic",0.99,40,30,5,723,150,14.173,1287,98,0.1718,31,0.1627,18,
"Teststatistic",0.99,40,30,6,723,150,14.85,1296,98,0.1718,32,0.1627,18,
"Teststatistic",0.99,60,30,0,723,150,13.61,1297,98,0.1718,33,0.1627,18,
"Teststatistic",0.99,60,30,5,723,150,13.363,1287,98,0.1718,34,0.1627,18,
"Teststatistic",0.99,60,30,6,723,150,13.634,1296,98,0.1718,35,0.1627,18,
"Univariate",0.9,60,5,0,693,144,11.896,952,94,0.172,36,0.165,1,
"Univariate",0.95,20,10,0,721,152,11.859,820,98,0.1741,37,0.165,1,
"Univariate",0.95,20,10,5,721,152,12.002,820,98,0.1741,38,0.165,1,
"Univariate",0.95,20,10,6,721,152,12.153,820,98,0.1741,39,0.165,1,
"Univariate",0.95,40,10,0,721,152,12.602,723,98,0.1741,40,0.165,1,
"Univariate",0.95,40,10,5,721,152,11.791,723,98,0.1741,41,0.165,1,
"Univariate",0.95,40,10,6,721,152,11.826,723,98,0.1741,42,0.165,1,
"Univariate",0.95,60,10,0,721,152,11.517,722,98,0.1741,43,0.165,1,
"Univariate",0.95,60,10,5,721,152,11.931,722,98,0.1741,44,0.165,1,
"Univariate",0.95,60,10,6,721,152,11.843,722,98,0.1741,45,0.165,1,
"Univariate",0.9,10,5,6,690,147,13.106,1220,94,0.1756,46,0.165,1,
"Univariate",0.9,20,5,6,690,147,12.819,1135,94,0.1756,47,0.165,1,
"Univariate",0.9,40,5,6,690,147,12.968,1042,94,0.1756,48,0.165,1,
"Univariate",0.9,60,10,0,690,147,12.108,935,94,0.1756,49,0.165,1,
"Univariate",0.9,60,10,5,690,147,11.805,928,94,0.1756,50,0.165,1,
"Univariate",0.9,60,10,6,690,147,12.032,935,94,0.1756,51,0.165,1,
"Univariate",0.95,10,5,4,719,154,12.024,725,98,0.1764,52,0.1762,52,
"Univariate",0.95,20,5,4,719,154,11.8,723,98,0.1764,53,0.1762,52,
"Univariate",0.95,40,5,4,719,154,11.666,626,98,0.1764,54,0.1762,52,
"Univariate",0.95,60,5,4,719,154,11.569,626,98,0.1764,55,0.1762,52,
"Univariate",0.9,10,5,0,689,148,12.987,1223,94,0.1768,56,0.165,1,
"Univariate",0.9,20,5,0,689,148,12.247,1136,94,0.1768,57,0.165,1,
"Univariate",0.9,20,10,5,689,148,12.277,1108,94,0.1768,58,0.165,1,
"Univariate",0.9,40,5,0,689,148,12.169,1043,94,0.1768,59,0.165,1,
"Univariate",0.9,40,10,5,689,148,12.385,1015,94,0.1768,60,0.165,1,
"Teststatistic",0.9,40,5,0,718,155,17.516,2462,98,0.1775,61,0.1493,61,0.234
"Teststatistic",0.95,40,5,0,718,155,17.578,2428,98,0.1775,62,0.1493,61,
"Teststatistic",0.99,40,5,0,718,155,16.405,2410,98,0.1775,63,0.1493,61,
"Teststatistic",0.9,20,5,5,717,156,15.873,1851,98,0.1787,64,0.1627,18,
"Bonferroni",0.9,10,5,4,731,160,11.682,611,100,0.1796,65,0.1762,52,
"Bonferroni",0.9,20,5,4,731,160,11.747,611,100,0.1796,66,0.1762,52,
"Bonferroni",0.9,40,5,4,731,160,11.082,608,100,0.1796,67,0.1762,52,
"Bonferroni",0.9,60,5,4,731,160,11.561,608,100,0.1796,68,0.1762,52,
"Bonferroni",0.95,10,5,4,731,160,12.153,583,100,0.1796,69,0.1762,52,0.215
"Bonferroni",0.95,20,5,4,731,160,12.071,583,100,0.1796,70,0.1762,52,
"Bonferroni",0.95,40,5,4,731,160,11.008,580,100,0.1796,71,0.1762,52,
"Bonferroni",0.95,60,5,4,731,160,11.172,580,100,0.1796,72,0.1762,52,
"Bonferroni",0.99,10,5,0,731,160,11.142,504,100,0.1796,73,0.1762,52,
"Bonferroni",0.99,10,5,4,731,160,11.073,504,100,0.1796,74,0.1762,52,
